,story,EnglishText,new_words,sequence_position
0,story_birthday_party_planning_mishap,He might offer to help with the work,0,0
1,story_birthday_party_planning_mishap,I know exactly what you're talking about,0,1
2,story_birthday_party_planning_mishap,"I suppose we should leave now, right?",0,2
3,story_birthday_party_planning_mishap,Let's call for help - the car broke down,0,3
4,story_birthday_party_planning_mishap,Please answer all questions honestly,0,4
5,story_birthday_party_planning_mishap,I'll definitely note your concerns about this.,0,5
6,story_birthday_party_planning_mishap,"Oh no, I dropped the glass and it broke!",0,6
7,story_birthday_party_planning_mishap,Aren't you enjoying our vacation by the sea?,0,7
8,story_birthday_party_planning_mishap,Don't forget to send the email before leaving work,0,8
9,story_birthday_party_planning_mishap,I'm expecting to graduate next spring,0,9
10,story_birthday_party_planning_mishap,Sometimes we just need to mind our own business,0,10
11,story_birthday_party_planning_mishap,We need to finish the project by Friday,0,11
12,story_birthday_party_planning_mishap,Did you remember to turn off the stove?,0,12
13,story_birthday_party_planning_mishap,Stand up straight when you give your speech,0,13
14,story_birthday_party_planning_mishap,I can't wait to see my daughter at the airport,0,14
15,story_birthday_party_planning_mishap,Don't you think it's a good idea?,0,15
16,story_birthday_party_planning_mishap,He realized his mistake too late,0,16
17,story_birthday_party_planning_mishap,Are you coming to her birthday party?,0,17
18,story_birthday_party_planning_mishap,The concert starts at eight o'clock,0,18
19,story_birthday_party_planning_mishap,Stop making excuses and let's start working,0,19
20,story_birthday_party_planning_mishap,Hurry up or we'll miss the train,0,20
21,story_birthday_party_planning_mishap,How did I miss noticing that huge fire?,0,21
22,story_birthday_party_planning_mishap,He's receiving an award for his work,0,22
23,story_birthday_party_planning_mishap,Pull the car over safely,0,23
24,story_birthday_party_planning_mishap,Shall we help with the cleanup?,0,24
25,story_birthday_party_planning_mishap,Shall we cook dinner together tonight?,0,25
26,story_birthday_party_planning_mishap,Shall we plan a surprise party for mom?,0,26
27,story_birthday_party_planning_mishap,I love cooking Italian food,0,27
28,story_birthday_party_planning_mishap,They kept cooking even in this terrible weather,0,28
29,story_birthday_party_planning_mishap,Who really knows what the future holds?,0,29
30,story_birthday_party_planning_mishap,Did they get into the site okay?,0,30
31,story_birthday_party_planning_mishap,Everyone seems to be stressed these days,0,31
32,story_birthday_party_planning_mishap,Have you noticed how many more participants there are now?,0,32
33,story_birthday_party_planning_mishap,Should we order takeout for dinner tonight?,0,33
34,story_birthday_party_planning_mishap,Are they out of their mind saying that?,0,34
35,story_birthday_party_planning_mishap,"Still, I think we should give it a try.",0,35
36,story_birthday_party_planning_mishap,I suggest we try the new restaurant,0,36
37,story_birthday_party_planning_mishap,I'm moving to a new apartment next month,0,37
38,story_birthday_party_planning_mishap,Have you already thought about this a lot?,0,38
39,story_birthday_party_planning_mishap,What will happen if we're late?,0,39
40,story_birthday_party_planning_mishap,Should we excuse ourselves from this boring party?,0,40
41,story_birthday_party_planning_mishap,"Yep, that sounds like a great plan to me.",0,41
42,story_birthday_party_planning_mishap,Would you like me to serve coffee to the guests?,0,42
43,story_birthday_party_planning_mishap,The firm's method is completely different than ours.,0,43
44,story_birthday_party_planning_mishap,"Hang the coat on the rack, thanks",0,44
45,story_birthday_party_planning_mishap,Add some salt to enhance the flavor,0,45
46,story_birthday_party_planning_mishap,This cake tastes absolutely delicious,0,46
47,story_birthday_party_planning_mishap,"Ok, let's review the list one more time.",0,47
48,story_birthday_party_planning_mishap,I hope to win the contract this week,0,48
49,story_birthday_party_planning_mishap,I'm sure our team will win tomorrow,0,49
50,story_birthday_party_planning_mishap,Do you believe in ghosts and supernatural phenomena?,0,50
51,story_birthday_party_planning_mishap,I just want to feel happy and content,0,51
52,story_birthday_party_planning_mishap,Let's go to bed early so we feel better tomorrow,0,52
53,story_birthday_party_planning_mishap,"Plenty of people have tried, but with little success.",0,53
54,story_birthday_party_planning_mishap,Could you fill in this form with your personal details?,0,54
55,story_birthday_party_planning_mishap,Is your brother really going to run towards hell?,0,55
56,story_birthday_party_planning_mishap,Look at that bird diving into the clear water!,0,56
57,story_community_park,Should we move to another location?,0,57
58,story_community_park,Guess what? They're moving to a different city,0,58
59,story_community_park,"I'm sorry, but that's simply not good enough.",0,59
60,story_community_park,Even a low rate is better than nothing.,0,60
61,story_community_park,We have to reach an agreement by tomorrow,0,61
62,story_community_park,Don't forget to bring your own food to the picnic,0,62
63,story_community_park,Thank you so much for your kind gesture,0,63
64,story_community_park,Can you believe they won the game against all odds?,0,64
65,story_community_park,Shouldn't we spend more time with family?,0,65
66,story_community_park,Which job offer should I choose?,0,66
67,story_community_park,"Whatever happens, we'll face it together, my son.",0,67
68,story_community_park,Remember when we met at the coffee shop last week?,0,68
69,story_community_park,Let's meet at the usual place tonight,0,69
70,story_community_park,Don't tell anyone about this - it's absolutely secret!,0,70
71,story_community_park,Is this space wide enough for us?,0,71
72,story_community_park,I like to listen to music while working out,0,72
73,story_community_park,She might forget to bring her lunch today,0,73
74,story_community_park,Don't forget to check your emails in the morning,0,74
75,story_community_park,Make sure to pay attention to every little detail,0,75
76,story_community_park,We still haven't resolved this issue,0,76
77,story_community_park,"Should we rethink our initial plan, everyone?",0,77
78,story_community_park,"Excuse me, where is the nearest bank?",0,78
79,story_community_park,Are you planning to expand your business next year?,0,79
80,story_community_park,Look at that beautiful sunset over there,0,80
81,story_community_park,Did you enjoy the beautiful garden this afternoon?,0,81
