swedish,english
Vi bor i en lägenhet i centrum.,We live in a flat in the centre.
Han bodde i Berlin i tre år.,He lived in Berlin for three years.
Jag har bott här hela mitt liv.,I have lived here all my life.
Jag tror på dig.,I believe in you.
Hon trodde på hans historia.,She believed his story.
Vi har alltid trott det.,We have always believed that.
Min mormor syr sina egna kläder.,My grandmother sews her own clothes.
Hon sydde en gardin till köket.,She sewed a curtain for the kitchen.
Jag har sytt fast en knapp.,I have sewn on a button.
Jag mår bra idag.,I feel well today.
Han mådde dåligt efter maten.,He felt ill after the meal.
Hon har mått bättre sedan i somras.,She has felt better since the summer.
Jag når inte översta hyllan.,I can't reach the top shelf.
Vi nådde toppen vid middagstid.,We reached the summit at midday.
De har nått sitt mål.,They have reached their goal.
Hon klär sig snabbt på morgonen.,She dresses quickly in the morning.
Jag klädde barnen i varma kläder.,I dressed the children in warm clothes.
Han har klätt om till middagen.,He has changed for dinner.
Sådant sker varje dag.,Such things happen every day.
Olyckan skedde på natten.,The accident occurred at night.
Ett mirakel har skett.,A miracle has occurred.
Jag skriver ett brev till min moster.,I am writing a letter to my aunt.
Hon skrev en roman förra året.,She wrote a novel last year.
Vi har skrivit under kontraktet.,We have signed the contract.
Hunden biter aldrig barn.,The dog never bites children.
Myggan bet mig i armen.,The mosquito bit me on the arm.
Katten har bitit sönder sladden.,The cat has bitten through the cable.
Hon rider varje lördag.,She rides every Saturday.
Vi red längs stranden.,We rode along the beach.
Han har ridit sedan han var sex.,He has ridden since he was six.
Vinden driver båten mot land.,The wind drives the boat towards land.
Han drev ett kafé i tio år.,He ran a café for ten years.
De har drivit frågan i domstol.,They have pursued the matter in court.
Priserna stiger varje år.,Prices rise every year.
Solen steg över bergen.,The sun rose over the mountains.
Temperaturen har stigit igen.,The temperature has risen again.
Polisen griper mannen på gatan.,The police arrest the man in the street.
Historien grep mig direkt.,The story gripped me straight away.
De har gripit två misstänkta.,They have arrested two suspects.
Barnet skriker i affären.,The child is screaming in the shop.
Måsarna skrek över hamnen.,The gulls screamed over the harbour.
Hon har skrikit sig hes.,She has screamed herself hoarse.
Han sliter hårt på jobbet.,He toils hard at work.
Vinden slet av en gren.,The wind tore off a branch.
Jag har slitit ut mina stövlar.,I have worn out my boots.
Han sviker aldrig sina vänner.,He never lets his friends down.
Minnet svek mig helt.,My memory failed me completely.
De har svikit sitt löfte.,They have broken their promise.
Många lider av allergi på våren.,Many suffer from allergies in spring.
Hon led av huvudvärk hela dagen.,She suffered from a headache all day.
Han har lidit i tysthet.,He has suffered in silence.
Jag vrider på kranen.,I turn the tap.
Han vred om nyckeln.,He turned the key.
Vinden har vridit sig norrut.,The wind has turned northwards.
Solen skiner över sjön.,The sun is shining over the lake.
Månen sken hela natten.,The moon shone all night.
Det har skinit sedan i morse.,It has been shining since this morning.
De river den gamla fabriken.,They are demolishing the old factory.
Katten rev soffan.,The cat scratched the sofa.
Kommunen har rivit huset.,The council has demolished the house.
Jag viker tvätten på kvällen.,I fold the laundry in the evening.
Hon vek pappret till en fågel.,She folded the paper into a bird.
Vi har vikit alla kartonger.,We have folded all the boxes.
Han blir läkare till sommaren.,He becomes a doctor by the summer.
Det blev kallt på kvällen.,It got cold in the evening.
Hon har blivit chef.,She has become a manager.
Vi flyger till Rom på fredag.,We fly to Rome on Friday.
Fågeln flög in genom fönstret.,The bird flew in through the window.
Jag har flugit över Atlanten en gång.,I have flown across the Atlantic once.
Jag bjuder på kaffe.,The coffee is on me.
Hon bjöd hela klassen på tårta.,She treated the whole class to cake.
De har bjudit oss på middag.,They have invited us to dinner.
Jag fryser om fötterna.,My feet are cold.
Sjön frös till i december.,The lake froze over in December.
Bären har frusit i frysen.,The berries have frozen in the freezer.
Vi njuter av tystnaden här.,We enjoy the silence here.
Han njöt av varje tugga.,He enjoyed every bite.
Jag har njutit av semestern.,I have enjoyed the holiday.
Jägaren skjuter aldrig mot ljud.,The hunter never shoots at sounds.
Hon sköt upp mötet till måndag.,She postponed the meeting to Monday.
De har skjutit ett mål i första halvlek.,They have scored a goal in the first half.
Isen flyter på vattnet.,The ice floats on the water.
Båten flöt iväg om natten.,The boat floated away during the night.
Löven har flutit ner till bron.,The leaves have floated down to the bridge.
Jag bryter av ett stycke choklad.,I break off a piece of chocolate.
Han bröt benet i backen.,He broke his leg on the slope.
Vi har brutit tystnaden.,We have broken the silence.
Barnet kryper redan.,The baby is already crawling.
Katten kröp under sängen.,The cat crawled under the bed.
Insekten har krupit in i skon.,The insect has crawled into the shoe.
Han smyger ut ur rummet.,He sneaks out of the room.
Vi smög förbi vakten.,We sneaked past the guard.
Hunden har smugit sig in i köket.,The dog has sneaked into the kitchen.
Kören sjunger varje torsdag.,The choir sings every Thursday.
Hon sjöng en gammal visa.,She sang an old ballad.
Vi har sjungit alla verser.,We have sung all the verses.
Priset sjunker på hösten.,The price drops in the autumn.
Skeppet sjönk utanför kusten.,The ship sank off the coast.
Temperaturen har sjunkit under noll.,The temperature has dropped below zero.
Jag dricker te på morgonen.,I drink tea in the morning.
Han drack ett glas vatten.,He drank a glass of water.
Vi har druckit upp all mjölk.,We have drunk all the milk.
Forskarna finner nya arter varje år.,Researchers find new species every year.
Hon fann en nyckel under mattan.,She found a key under the rug.
Vi har funnit en lösning.,We have found a solution.
Ljuset brinner på bordet.,The candle is burning on the table.
Ladan brann hela natten.,The barn burned all night.
Skogen har brunnit i en vecka.,The forest has burned for a week.
Hon springer fem kilometer varje dag.,She runs five kilometres every day.
Vi sprang efter bussen.,We ran after the bus.
