# English	Swedish
the first of January	den första januari
the second of February	den andra februari
the third of March	den tredje mars
the fourth of July	den fjärde juli
the fifth of May	den femte maj
the sixth of June is Sweden's national day	den sjätte juni är Sveriges nationaldag
Sunday is the seventh day	söndag är den sjunde dagen
the eighth of March, International Women's Day	den åttonde mars, internationella kvinnodagen
September is the ninth month	september är den nionde månaden
my tenth cup of coffee	min tionde kopp kaffe
at the eleventh hour	i den elfte timmen
the twelfth night	den tolfte natten
Friday the thirteenth	fredagen den trettonde
the fourteenth of February, Valentine's Day	den fjortonde februari, alla hjärtans dag
the fifteenth of August	den femtonde augusti
my sixteenth birthday	min sextonde födelsedag
the seventeenth of May is Norway's national day	den sjuttonde maj är Norges nationaldag
on my eighteenth birthday	på min artonde födelsedag
the nineteenth century	det nittonde århundradet
the twentieth century	det tjugonde århundradet
the twenty-first of December, the winter solstice	den tjugoförsta december, vintersolståndet
the twenty-second of June	den tjugoandra juni
the twenty-third of December, the day before Christmas Eve	den tjugotredje december, dagen före julafton
the thirtieth of April, Walpurgis Night	den trettionde april, valborgsmässoafton
the thirty-first of December, New Year's Eve	den trettioförsta december, nyårsafton
my fortieth birthday	min fyrtionde födelsedag
our fiftieth wedding anniversary	vår femtionde bröllopsdag
the sixtieth minute	den sextionde minuten
my grandmother's seventieth birthday	min mormors sjuttionde födelsedag
the eightieth day	den åttionde dagen
a goal in the ninetieth minute	ett mål i den nittionde minuten
his hundredth match	hans hundrade match
